"Марка", "модель", "Тбс", "Тх"
"Suzuki", "SX4	"	,	"	0,89%	"	,	"	0,43%	"
"Toyota", "Auris	"	,	"	1,78%	"	,	"	0,71%	"
"Toyota", "Camry*	"	,	"	1,51%	"	,	"	0,71%	"
"Toyota", "Corolla	"	,	"	1,61%	"	,	"	1,10%	"
"Toyota", "RAV 4*	"	,	"	1,03%	"	,	"	0,74%	"
"Toyota", "Venza	"	,	"	0,88%	"	,	"	0,55%	"
"Toyota", "Verso	"	,	"	1,15%	"	,	"	0,71%	"
"Volkswagen", "Golf	"	,	"	0,97%	"	,	"	0,55%	"
"Volkswagen", "Jetta	"	,	"	1,18%	"	,	"	0,55%	"
"Volkswagen", "Passat	"	,	"	1,05%	"	,	"	0,55%	"
"Volkswagen", "Polo	"	,	"	1,41%	"	,	"	0,43%	"
"Volkswagen", "Tiguan	"	,	"	0,70%	"	,	"	0,55%	"
"Volvo", "XC60	"	,	"	0,61%	"	,	"	0,55%	"
"Volvo", "S60	"	,	"	0,95%	"	,	"	0,55%	"
"ВАЗ/Lada", "2114	"	,	"	1,38%	"	,	"	1,38%	"
"ВАЗ/Lada", "2131(Lada 2121)/Нива	"	,	"	0,47%	"	,	"	1,02%	"
"ВАЗ ", "Granta	"	,	"	1,44%	"	,	"	1,38%	"
"ВАЗ/Lada", "Largus	"	,	"	0,99%	"	,	"	1,38%	"
"УАЗ", "Patriot	"	,	"	0,73%	"	,	"	0,70%"
